model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh,fold
Catch22,0,7,13.074995397517092,-0.3181818181818182,0.7692307692307693,0.9090909090909091,0.9999977271590852,0.8333333333333334,0.9545443181249971,0.8181750000568178,0.27272500001893923,2.444346320410111,0.5,1
QUANT,0,7,4.296212175430849,-0.18181818181818182,0.8076923076923077,0.9545454545454546,0.9999981059659043,0.875,0.9772717802556794,0.6818125000473482,0.13636250000946962,2.444351875965666,0.5,1
ResNet,0,7,3.1530994401495507,7.090909090909091,0.55,0.5,0.9999965907386278,0.5238095238095238,0.7499982953693138,1.2272625000852266,1.4999875001041658,2.4443046175727225,0.5,1
Ensemble-All,,7,0.010925930199846334,2.590909090909091,0.8181818181818182,0.8181818181818182,0.9999984847727235,0.8181818181818182,0.9090901514772709,0.5454500000378785,0.5454500000378785,2.4443407407407407,,1
Ensemble-ts,,7,0.009926570999899317,0.5909090909090909,0.8333333333333334,0.9090909090909091,0.9999984847727235,0.8695652173913043,0.9545446969318163,0.5454500000378785,0.27272500001893923,2.4443490861309813,,1
DummyADL,0,7,0.05086910173844974,20.0,0.0,0.0,1.0,0.0,0.5,0.0,2.999975000208331,3.777509980217764,0.5,2
DummyFall,0,7,0.0005042978410587962,0.0,5.8332847226273116e-05,1.0,0.0,0.00011665888940737284,0.5,51425.57145357122,0.0,-0.30925068754014046,0.5,2
ExtraTrees,0,7,0.1530931374575928,5.000294117647059,0.8928571428571429,0.7352941176470589,0.9999992646691158,0.8064516129032258,0.8676466911580873,0.2647036764889704,0.7941110294669113,3.7776101490144645,0.5,2
MiniRocket,0,7,1.3074961095914233,0.5235294117647058,0.8571428571428571,0.8823529411764706,0.9999987744485264,0.8695652173913043,0.9411758578124985,0.44117279414828403,0.3529382353186272,3.777628246769194,0.5,2
Catch22,0,7,13.117335028795255,1.964705882352941,0.8529411764705882,0.8529411764705882,0.9999987744485264,0.8529411764705882,0.9264699754595573,0.44117279414828403,0.44117279414828403,3.777624074074074,0.5,2
QUANT,0,7,4.21704717841529,0.876470588235294,0.8333333333333334,0.8823529411764706,0.9999985293382316,0.8571428571428571,0.9411757352573511,0.5294073529779408,0.3529382353186272,3.7776268639087593,0.5,2
