model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold,thresh
ExtraTrees,0.0,7,0.3393863803715092,-0.0454545454545454,0.9130434782608696,0.9545454545454546,0.9999992423863616,0.9333333333333332,0.9772723484659082,0.2727250000189392,0.1363625000094696,0.0009999984216514,1,
Catch22,0.0,7,13.57765126647964,1.1363636363636365,0.6333333333333333,0.8636363636363636,0.9999958331249896,0.7307692307692307,0.9318160983806768,1.4999875001041658,0.4090875000284089,0.0009999930552661,1,
QUANT,0.0,7,4.57495576029335,-0.1818181818181818,0.75,0.9545454545454546,0.999997348352266,0.84,0.9772714014488604,0.9545375000662872,0.1363625000094696,0.0009999962119633,1,
ExtraTrees,0.0,7,0.1435495783838918,5.000294117647059,0.8928571428571429,0.7352941176470589,0.9999992646691158,0.8064516129032258,0.8676466911580873,0.2647036764889704,0.7941110294669113,0.0009999950978349,2,
Catch22,0.0,7,10.495814577641424,1.4449999999999998,0.6976744186046512,0.8823529411764706,0.9999968135661684,0.7792207792207793,0.9411748773713196,1.1470492647855384,0.3529382353186272,0.0009999944850643,2,
QUANT,0.0,7,4.612756078836775,0.3567647058823529,0.8378378378378378,0.9117647058823528,0.9999985293382316,0.8732394366197183,0.9558816176102922,0.5294073529779408,0.2647036764889704,0.0009999969361468,2,
ExtraTrees,0.0,7,0.1498348942337508,3.6666666666666665,0.5833333333333334,0.7777777777777778,0.9999953701388772,0.6666666666666666,0.8888865739583276,1.6666527778935176,0.666661111157407,0.0009999912033371,3,
Catch22,0.0,7,15.120029060490635,10.666666666666666,0.2105263157894736,0.4444444444444444,0.999986110416632,0.2857142857142857,0.7222152774305381,4.999958333680553,1.6666527778935176,0.0009999753076131,3,
QUANT,0.0,7,4.0498753658762645,1.3333333333333333,0.7272727272727273,0.8888888888888888,0.9999972220833264,0.8,0.9444430554861076,0.9999916667361104,0.3333305555787035,0.0009999950615226,3,
ExtraTrees,0.0,7,0.1496974073321931,6.0,0.5882352941176471,0.6666666666666666,0.999996110916657,0.625,0.8333313887916618,1.399988333430555,0.9999916667361106,0.0009999903699691,4,
Catch22,0.0,7,13.365807810900282,4.537999999999999,0.7692307692307693,0.6666666666666666,0.999998333249996,0.7142857142857143,0.8333324999583313,0.5999950000416664,0.9999916667361106,0.0009999929626697,4,
QUANT,0.0,7,4.134107418120013,2.938,0.8,0.8,0.999998333249996,0.8,0.899999166624998,0.5999950000416664,0.5999950000416664,0.0009999949997916,4,
