model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold,thresh
ExtraTrees,0.0,30,0.3133913256224845,3.6666666666666665,0.5833333333333334,0.7777777777777778,0.9999953692512727,0.6666666666666666,0.8888865735145253,1.6666527778935176,0.666661111157407,0.0009999912016507,3,
QUANT,0.0,30,8.716350566189286,-5.888888888888889,0.7272727272727273,0.8888888888888888,0.9999972215507636,0.8,0.9444430552198262,0.9999916667361104,0.3333305555787035,0.0009999950605758,3,
ExtraTrees,0.0,30,0.3135549058955325,6.266666666666667,0.75,0.8,0.9999977772406108,0.7741935483870968,0.8999988886203054,0.7999933333888885,0.5999950000416664,0.0009999943505336,4,
QUANT,0.0,30,8.66728103185064,1.2713333333333334,0.8666666666666667,0.8666666666666667,0.9999988886203056,0.8666666666666667,0.933332777643486,0.3999966666944442,0.3999966666944442,0.0009999966658887,4,
ExtraTrees,0.0,30,0.3060174956869638,4.0,0.7222222222222222,0.7027027027027027,0.9999977350610288,0.7123287671232876,0.8513502188818658,0.8151730884191076,0.8966903972610184,0.0009999927900046,5,
QUANT,0.0,30,8.436709574338982,-0.3581081081081081,0.6170212765957447,0.7837837837837838,0.999995923109852,0.6904761904761905,0.8918898534468178,1.4673115591543937,0.6521384707352861,0.0009999919217853,5,
ExtraTrees,0.0,60,2.0492450673066105,-1.0454545454545454,0.9166666666666666,1.0,0.9999992420515844,0.9565217391304348,0.9999996210257922,0.2727250000189392,0.0,0.0009999991157342,1,
QUANT,0.0,60,11.97661638814929,0.5909090909090909,0.8333333333333334,0.9090909090909092,0.9999984841031688,0.8695652173913043,0.954544696597039,0.5454500000378785,0.2727250000189392,0.0009999968419079,1,
ExtraTrees,0.0,60,0.4966093734407444,2.853235294117647,0.8928571428571429,0.7352941176470589,0.999999264344185,0.8064516129032258,0.867646690995622,0.2647036764889704,0.7941110294669113,0.0009999950956687,2,
QUANT,0.0,60,10.890063877660362,-1.0647058823529412,0.8484848484848485,0.8235294117647058,0.9999987739069748,0.835820895522388,0.9117640928358404,0.441172794148284,0.5294073529779408,0.0009999958721878,2,
