model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
Catch22,7,8.28703834061191,0.9761900761703152,0.91,0.9523809523809523,0.999999199959678,0.9307082587573512,0.2879975808054759,0.1439987904101607,-0.047619047619047616,0.0009999983332633303,25,FARSEEING,ts
QUANT,7,6.5989055598121915,0.999999199959678,0.84,1.0,0.9999983999193559,0.9130434782608696,0.5759951616509174,0.0,-1.1904761904761905,0.00099999813325493,25,FARSEEING,ts
TS Ensemble,7,0.001004961895800772,0.9499993749687484,0.86,0.9,0.9999987499374968,0.8795454545454545,0.4499962500500909,0.2999975000208331,-0.35,0.0009999970137644625,25,FARSEEING,ts
Rocket,7,9.367663084087916,0.8695635846286518,0.65,0.7391304347826086,0.999996734474695,0.6917057902973396,1.1755204398885597,0.783680293270581,2.9269565217391302,0.0009999921990879828,31,FARSEEING,ts
Catch22,7,10.350542537373231,0.9565213762942897,0.91,0.9130434782608695,0.99999927432771,0.9115191986644408,0.26122676442856124,0.26122676442352716,-1.4208695652173915,0.0009999978230012974,31,FARSEEING,ts
QUANT,7,4.211105075358772,0.9347815201872172,0.77,0.8695652173913043,0.9999978229831299,0.8167594802439672,0.7836802932856837,0.3918401466352905,-0.6956521739130435,0.0009999954645860364,31,FARSEEING,ts
TS Ensemble,7,0.0009411265668661698,0.9318176136079531,0.86,0.8636363636363636,0.9999988635795426,0.8618143459915611,0.40908750003463745,0.4090875000284089,0.6054545454545455,0.0009999965907670396,31,FARSEEING,ts
Rocket,7,5.510749804839211,0.7999991666249979,0.75,0.6,0.9999983332499959,0.6666666666666665,0.5999950000268222,1.1999900000833328,7.181,0.0009999919441087825,32,FARSEEING,ts
Catch22,7,12.78203054079891,0.9499970831874927,0.56,0.9,0.9999941663749854,0.6904109589041098,2.099982500153826,0.2999975000208331,1.581,0.00099999166631943,32,FARSEEING,ts
QUANT,7,3.2311760182642817,0.9999979165624948,0.67,1.0,0.9999958331249896,0.8023952095808384,1.4999875000870384,0.0,-0.719,0.0009999951386863342,32,FARSEEING,ts
TS Ensemble,7,0.0008029703838894,0.8499983332499959,0.64,0.7,0.9999966664999916,0.6686567164179105,1.1999900000936103,0.8999925000624996,5.4,0.0009999915274247538,32,FARSEEING,ts
Rocket,7,7.016871128085589,0.8461535256249992,0.9,0.6923076923076923,0.9999993589423061,0.7826086956521738,0.23076730771492107,0.9230692308333328,4.851538461538461,0.0009999945510550119,33,FARSEEING,ts
Catch22,7,15.886043554445363,0.8461535256249992,0.9,0.6923076923076923,0.9999993589423061,0.7826086956521738,0.23076730771492107,0.9230692308333328,5.466923076923076,0.0009999945510550119,33,FARSEEING,ts
