model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g,fold,Dataset,model_type
Catch22,7,18.14540205929192,0.7941173993866939,0.91,0.5882352941176471,0.9999995046557407,0.7145661562622693,0.17831342248262716,1.2481939574534267,7.705882352941177,0.0009999930652387662,2,FARSEEING,ts
QUANT,7,4.083623234515851,0.9117644582102233,0.93,0.8235294117647058,0.9999995046557407,0.8735323716873533,0.17831342248262716,0.5349402674800402,2.6470588235294117,0.0009999966977327459,2,FARSEEING,ts
Ensemble,7,4.083623234515851,0.933333055541666,0.93,0.8666666666666667,0.9999994444166653,0.89721706864564,0.17831342247705767,0.3566268449866933,1.6666666666666667,0.0009999973147029274,2,FARSEEING,ts
Rocket,7,8.64724662069263,0.9062471175348739,0.54,0.8125,0.9999942350697478,0.6487985212569316,2.075253078673252,0.5659781123686656,0.3600000000000001,0.0009999903918634805,3,FARSEEING,ts
Catch22,7,18.006595919256824,0.9062489518308632,0.76,0.8125,0.9999979036617265,0.7853736089030208,0.7546374831575432,0.5659781123686656,-0.2649999999999999,0.0009999946718515665,3,FARSEEING,ts
QUANT,7,3.77861092757597,0.8749994759154316,0.86,0.75,0.9999989518308632,0.8012422360248448,0.3773187415987544,0.7546374831582208,0.9225000000000001,0.0009999949338916534,3,FARSEEING,ts
Ensemble,7,3.77861092757597,0.8999983332499959,0.67,0.8,0.9999966664999916,0.729251700680272,1.1319562247470258,0.5659781123686655,1.1973333333333334,0.0009999930552661916,3,FARSEEING,ts
Rocket,7,8.934135293008097,0.9137900827600135,0.53,0.8275862068965517,0.9999939586234753,0.6461772923545847,2.174768542472174,0.5178020339263892,0.3793103448275862,0.0009999903146993903,4,FARSEEING,ts
Catch22,7,25.527528782256283,0.8620681024634521,0.78,0.7241379310344828,0.9999982738924215,0.7510316368638239,0.6213624407234636,0.8284832542822228,3.5517241379310347,0.0009999937668857463,4,FARSEEING,ts
QUANT,7,4.012334686614224,0.8965511487687382,0.85,0.7931034482758621,0.9999988492616143,0.8205666316894018,0.4142416271489757,0.621362440711667,2.9655172413793105,0.0009999954929789242,4,FARSEEING,ts
Ensemble,7,4.012334686614224,0.9464273808928542,0.76,0.8928571428571429,0.9999976189285654,0.8210890233362143,0.8284832543003554,0.3106812203558334,-0.03571428571428571,0.0009999955851335075,4,FARSEEING,ts
