model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,fold
Ensemble-tabular,,7,0.006635446101427078,1.7727272727272727,0.95,0.8636363636363636,0.9999996211931809,0.9047619047619048,0.9318179924147723,0.13636250000946962,0.4090875000284089,0.0009999974746422516,1
Ensemble-ts,,7,0.009876804426312447,0.9545454545454546,0.5588235294117647,0.8636363636363636,0.9999943178977131,0.6785714285714286,0.9318153407670384,2.0454375001420444,0.4090875000284089,0.0009999912875157677,1
LogisticCV,0.0,7,0.11152356839837589,3.8238235294117646,0.8709677419354839,0.7941176470588235,0.9999990195588211,0.8307692307692308,0.8970583333088222,0.3529382353186272,0.6176419118075976,0.000999995710605589,2
RandomForest,0.0,7,0.14586917314644432,3.7649999999999997,0.7647058823529411,0.7647058823529411,0.9999980391176422,0.7647058823529411,0.8823519607352917,0.7058764706372544,0.7058764706372544,0.0009999941174019505,2
ExtraTrees,0.0,7,0.1435495783838918,5.000294117647059,0.8928571428571429,0.7352941176470589,0.9999992646691158,0.8064516129032258,0.8676466911580873,0.2647036764889704,0.7941110294669113,0.0009999950978349587,2
Rocket,0.0,7,7.8328967666679645,1.1323529411764706,0.4142857142857143,0.8529411764705882,0.9999899504779161,0.5576923076923077,0.9264655634742521,3.617616912015929,0.44117279414828403,0.0009999860288296327,2
Catch22,0.0,7,10.495814577641424,1.4449999999999998,0.6976744186046512,0.8823529411764706,0.9999968135661685,0.7792207792207793,0.9411748773713196,1.1470492647855384,0.3529382353186272,0.0009999944850643287,2
QUANT,0.0,7,4.6127560788367745,0.35676470588235293,0.8378378378378378,0.9117647058823529,0.9999985293382316,0.8732394366197183,0.9558816176102922,0.5294073529779408,0.2647036764889704,0.0009999969361468492,2
Ensemble-All,,7,0.006451776406417291,0.8176470588235293,0.8648648648648649,0.9411764705882353,0.9999987744485264,0.9014084507042254,0.9705876225183808,0.44117279414828403,0.1764691176593136,0.0009999976714716054,2
Ensemble-tabular,,7,0.010393521748483181,3.353235294117647,0.875,0.8235294117647058,0.9999990195588211,0.8484848484848485,0.9117642156617635,0.3529382353186272,0.5294073529779408,0.0009999961599707178,2
Ensemble-ts,,7,0.01525513082742691,-0.39705882352941174,0.5849056603773585,0.9117647058823529,0.9999946075735159,0.7126436781609196,0.9558796567279344,1.9411602942524497,0.2647036764889704,0.0009999923607928109,2
LogisticCV,0.0,7,0.11595545495619224,-0.5555555555555556,0.6666666666666666,0.8888888888888888,0.9999962961111019,0.7619047619047619,0.9444425924999953,1.333322222314814,0.3333305555787035,0.0009999939812306994,3
