model,seed,window_size,runtime,delay,precision,recall,specificity,f1-score,auc,false alarm rate,miss rate,gain,thresh
Rocket,1,60,43.73323767042692,-47.67809523809524,0.4318181818181818,0.9047619047619048,0.9999900233294464,0.5846153846153846,0.9523759640456756,3.589796362818325,0.287183709025466,2.320223745572547,0.5
RandomForest,2,60,0.5948012775318792,2.0933333333333333,0.8421052631578947,0.7619047619047619,0.9999988027995336,0.8,0.8809517823521478,0.430775563538199,0.717959272563665,2.320241654974368,0.5
ExtraTrees,2,60,0.5747852709313394,4.56952380952381,0.8421052631578947,0.7619047619047619,0.9999988027995336,0.8,0.8809517823521478,0.430775563538199,0.717959272563665,2.320241654974368,0.5
Rocket,2,60,43.42466669494874,-56.96380952380952,0.43478260869565216,0.9523809523809523,0.9999896242626243,0.5970149253731343,0.9761852883217883,3.733388217331058,0.143591854512733,2.320226535042624,0.5
LogisticCV,0,7,0.10948765074466557,5.236190476190477,0.8333333333333334,0.7142857142857143,0.9999988033310477,0.7692307692307693,0.857142258808381,0.430775563538199,0.861551127076398,2.321268037973587,0.5
DummyADL,0,7,0.046326592208563576,20.0,0.0,0.0,1.0,0.0,0.5,0.0,3.015428944767393,2.3212095991484416,0.5
DummyFall,0,7,0.0003092069056457187,0.0,5.8633504301186354e-05,1.0,0.0,0.00011726013322984661,0.5,51425.41240777215,0.0,-0.19010919934504228,0.5
LogisticCV,1,7,0.10739334546868036,5.236190476190477,0.8333333333333334,0.7142857142857143,0.9999988033310477,0.7692307692307693,0.857142258808381,0.430775563538199,0.861551127076398,2.321268037973587,0.5
LogisticCV,2,7,0.10842327425042621,5.236190476190477,0.8333333333333334,0.7142857142857143,0.9999988033310477,0.7692307692307693,0.857142258808381,0.430775563538199,0.861551127076398,2.321268037973587,0.5
Catch22,0,10,37.96493599008833,-4.487619047619048,0.47368421052631576,0.8571428571428571,0.9999920220064973,0.6101694915254238,0.9285674395746772,2.87183709025466,0.430775563538199,2.3211987107283107,0.3781818181818182
QUANT,0,10,4.816462229805308,-3.63047619047619,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,2.3212333567726744,0.4141414141414142
Catch22,1,10,35.822125076956674,-6.3447619047619055,0.47368421052631576,0.8571428571428571,0.9999920220064973,0.6101694915254238,0.9285674395746772,2.87183709025466,0.430775563538199,2.3211987107283107,0.3781818181818182
QUANT,1,10,4.802114872916092,-4.916190476190476,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,2.3212333567726744,0.4141414141414142
Catch22,2,10,37.01361132795899,-7.6780952380952385,0.5135135135135135,0.9047619047619048,0.9999928198058475,0.6551724137931034,0.9523773622838761,2.584653381229194,0.287183709025466,2.32120564931292,0.3781818181818182
QUANT,2,10,4.844496934284135,-3.5828571428571427,0.84,1.0,0.9999984044012995,0.9130434782608695,0.9999992022006498,0.574367418050932,0.0,2.3212333567726744,0.4141414141414142
RandomForest,0,60,0.5717384279443497,-0.7733333333333331,0.85,0.8095238095238095,0.9999988027995336,0.8292682926829268,0.9047613061616715,0.430775563538199,0.574367418050932,2.320245827487184,0.49966329966329964
ExtraTrees,0,60,0.5490804705837466,3.9980952380952384,0.9411764705882353,0.7619047619047619,0.9999996009331779,0.8421052631578947,0.8809521814189698,0.143591854512733,0.717959272563665,2.3202444210598463,0.48484848484848486
Rocket,0,60,43.66849987133024,-49.29714285714286,0.4523809523809524,0.9047619047619048,0.9999908214630907,0.6031746031746031,0.9523763631124977,3.302612653792859,0.287183709025466,2.320226511658026,0.010101010101010102
RandomForest,1,60,0.5665252282312557,-0.20190476190476167,0.85,0.8095238095238095,0.9999988027995336,0.8292682926829268,0.9047613061616715,0.430775563538199,0.574367418050932,2.320245827487184,0.49966329966329964
ExtraTrees,1,60,0.5605974071386723,3.9980952380952384,0.8888888888888888,0.7619047619047619,0.9999992018663557,0.8205128205128205,0.8809519818855588,0.287183709025466,0.717959272563665,2.3202430380171073,0.48484848484848486
Rocket,1,60,43.74005788646681,-47.67809523809524,0.4318181818181818,0.9047619047619048,0.9999900233294464,0.5846153846153846,0.9523759640456756,3.589796362818325,0.287183709025466,2.320223745572547,0.010101010101010102
RandomForest,2,60,0.5925749211356023,2.0933333333333333,0.8421052631578947,0.7619047619047619,0.9999988027995336,0.8,0.8809517823521478,0.430775563538199,0.717959272563665,2.320241654974368,0.49966329966329964
ExtraTrees,2,60,0.5724939296063756,3.9980952380952384,0.8421052631578947,0.7619047619047619,0.9999988027995336,0.8,0.8809517823521478,0.430775563538199,0.717959272563665,2.320241654974368,0.48484848484848486
Rocket,2,60,43.75978150263366,-56.96380952380952,0.43478260869565216,0.9523809523809523,0.9999896242626243,0.5970149253731343,0.9761852883217883,3.733388217331058,0.143591854512733,2.320226535042624,0.010101010101010102
LogisticCV,0,7,0.10919340569197136,5.236190476190477,0.8333333333333334,0.7142857142857143,0.9999988033310477,0.7692307692307693,0.857142258808381,0.430775563538199,0.861551127076398,2.321268037973587,0.47474745684062
LogisticCV,1,7,0.10914074404550526,5.236190476190477,0.8333333333333334,0.7142857142857143,0.9999988033310477,0.7692307692307693,0.857142258808381,0.430775563538199,0.861551127076398,2.321268037973587,0.47474745684062
LogisticCV,2,7,0.10781375202679344,5.236190476190477,0.8333333333333334,0.7142857142857143,0.9999988033310477,0.7692307692307693,0.857142258808381,0.430775563538199,0.861551127076398,2.321268037973587,0.47474745684062
