model,window_size,runtime,auc,precision,recall,specificity,f1-score,false alarm rate,miss rate,delay,g
QUANT,13,6.120521483167531,0.9696968434217159,0.97,0.9393939393939394,0.9999997474494924,0.9544516743374067,0.09090833335470883,0.18181666667929267,29.09090909090909,0.0009999987793493867
QUANT,14,6.132891330697855,0.9848483585721787,0.97,0.9696969696969697,0.9999997474473876,0.9698484611779409,0.0909083333349921,0.09090833333964633,10.433939393939392,0.0009999992423484773
QUANT,15,6.461643969815673,0.9545453282680959,0.97,0.9090909090909091,0.9999997474452827,0.9385582970488631,0.09090833334260993,0.27272500001893935,37.60606060606061,0.0009999983163159175
QUANT,16,6.69607701821601,0.9848483585700738,0.97,0.9696969696969697,0.9999997474431779,0.9698484611779409,0.09090833333759865,0.09090833333964633,10.464242424242423,0.0009999992423358483
QUANT,17,7.1763473753482065,0.9696968434175062,0.97,0.9393939393939394,0.999999747441073,0.9544516743374067,0.09090833331995825,0.18181666667929267,10.161212121212118,0.000999998779308693
QUANT,18,6.378937253947973,0.9696968434164537,0.97,0.9393939393939394,0.999999747438968,0.9544516743374067,0.09090833332965075,0.18181666667929267,18.939393939393938,0.0009999987792985194
QUANT,19,6.788856835108243,0.9696968434154012,0.97,0.9393939393939394,0.999999747436863,0.9544516743374067,0.09090833332671346,0.18181666667929267,18.979393939393937,0.0009999987792883454
QUANT,20,6.795760982260166,0.9696968434143487,0.97,0.9393939393939394,0.999999747434758,0.9544516743374067,0.09090833335110773,0.18181666667929267,10.221818181818179,0.0009999987792781713
QUANT,21,7.208611100700748,0.9696968434132962,0.97,0.9393939393939394,0.999999747432653,0.9544516743374067,0.09090833332291053,0.18181666667929267,10.221818181818179,0.000999998779267997
QUANT,22,7.81922380884151,0.9696968434122437,0.97,0.9393939393939394,0.9999997474305479,0.9544516743374067,0.09090833332204423,0.18181666667929267,9.888484848484847,0.0009999987792578225
QUANT,23,7.525798548287244,0.9393938131081607,0.97,0.8787878787878788,0.9999997474284427,0.9221439108342895,0.09090833334850784,0.36363333335858566,27.181818181818183,0.0009999978531596565
QUANT,24,7.7348640712672205,0.9545453282586234,0.97,0.9090909090909091,0.9999997474263376,0.9385582970488631,0.0909083333223803,0.27272500001893935,18.646060606060605,0.0009999983161896179
QUANT,25,8.063795522829261,0.9696968434090859,0.97,0.9393939393939394,0.9999997474242324,0.9544516743374067,0.09090833332358199,0.18181666667929267,10.161212121212118,0.0009999987792272981
QUANT,26,8.347127814309637,0.954545328256518,0.97,0.9090909090909091,0.999999747422127,0.9385582970488631,0.09090833335211193,0.27272500001893935,17.858181818181816,0.0009999983161615488
QUANT,27,7.679072601864874,0.9545453282554655,0.97,0.9090909090909091,0.9999997474200218,0.9385582970488631,0.09090833332805104,0.27272500001893935,17.858181818181816,0.000999998316147514
QUANT,28,7.961637986640028,0.969696843405928,0.97,0.9393939393939394,0.9999997474179165,0.9544516743374067,0.09090833333131773,0.18181666667929267,9.343030303030302,0.0009999987791967722
QUANT,29,8.19108216784656,0.9696968434048754,0.97,0.9393939393939394,0.9999997474158112,0.9544516743374067,0.09090833332195264,0.18181666667929267,9.31272727272727,0.0009999987791865965
QUANT,30,8.434153844107778,0.9393938131007923,0.97,0.8787878787878788,0.9999997474137058,0.9221439108342895,0.0909083333399138,0.36363333335858566,36.373333333333335,0.000999997853034395
QUANT,31,8.628922318769698,0.9393938130997396,0.97,0.8787878787878788,0.9999997474116004,0.9221439108342895,0.09090833334524248,0.36363333335858566,37.22181818181818,0.000999997853016499
QUANT,32,8.682752811700405,0.9393938130986869,0.97,0.8787878787878788,0.9999997474094949,0.9221439108342895,0.09090833333793871,0.36363333335858566,37.19151515151515,0.0009999978529986033
QUANT,33,8.864567318180876,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,27.191515151515148,0.000999998610752222
QUANT,34,9.609023127627093,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,30.827878787878785,0.0009999986107406419
QUANT,35,9.370678060308157,0.9393939393939394,1.0,0.8787878787878788,1.0,0.9354838709677419,0.0,0.36363333335858566,49.40363636363636,0.0009999981476387489
QUANT,36,9.066416765634008,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,30.858181818181816,0.0009999986107174811
QUANT,37,8.933787602144331,0.9696969696969697,1.0,0.9393939393939394,1.0,0.96875,0.0,0.18181666667929267,23.22181818181818,0.0009999990738039336
QUANT,38,9.16019197179908,0.9696969696969697,1.0,0.9393939393939394,1.0,0.96875,0.0,0.18181666667929267,23.25212121212121,0.000999999073796213
QUANT,39,9.502172758179489,0.9696969696969697,1.0,0.9393939393939394,1.0,0.96875,0.0,0.18181666667929267,23.25212121212121,0.0009999990737884921
QUANT,40,9.567792951599264,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,30.918787878787878,0.000999998610671157
QUANT,41,9.405212703702322,0.9696969696969697,1.0,0.9393939393939394,1.0,0.96875,0.0,0.18181666667929267,18.767272727272726,0.0009999990737730503
QUANT,42,9.803239270516862,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523,0.0,0.27272500001893935,27.28242424242424,0.0009999986106479937
